

========== TEST 1 ==========


-0.8750844629989409 1.060560136316076 1 Infinity 0.0 1990.0 3.0 Infinity [-5.0, 1.0, 0.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-9.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-5.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-12.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-13.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-9.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-39.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-42.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-12.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-50.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-7.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-31.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-21.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-11.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-12.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-26.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-6.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-4.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-28.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-31.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-5.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-3.0, 0.0, 0.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-13.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-10.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-14.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-24.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-28.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-35.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-14.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-8.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-26.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-9.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-11.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-22.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-11.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-24.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-8.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-2.0, 0.0, 0.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-31.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-13.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-4.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-10.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-5.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-13.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-13.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-9.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-16.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-14.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-13.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-34.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-7.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-10.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-15.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-14.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-15.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-37.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-21.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-3.0, 0.0, 0.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-24.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-6.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-22.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-21.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-42.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-24.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-4.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-5.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-14.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-25.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-9.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-11.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-22.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-17.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-22.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-7.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-15.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-11.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-18.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-11.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-2.0, 0.0, 0.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-15.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-25.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-12.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-18.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-8.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-16.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-29.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-17.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-14.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-17.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-5.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-4.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-16.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-8.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-10.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-16.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-3.0, 0.0, 0.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-12.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-16.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-14.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-7.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-19.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-9.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-16.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-13.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-16.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-15.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-23.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-35.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-19.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-6.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-8.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-29.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-32.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-16.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-14.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-20.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-5.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-17.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-4.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-11.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-11.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-2.0, 0.0, 0.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-15.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-21.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-37.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-23.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-7.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-55.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-37.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-19.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-22.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-8.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-23.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-30.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-17.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-3.0, 0.0, 0.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-18.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-26.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-6.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-19.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-12.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-13.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-9.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-32.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-13.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-13.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-5.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-17.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-52.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-4.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-11.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-21.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-14.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-29.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-8.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-7.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-17.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-28.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-18.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-16.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-19.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-16.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-13.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-19.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-14.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-10.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-2.0, 0.0, 0.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-16.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-6.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-15.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-19.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-27.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-15.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-34.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-23.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-36.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-18.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-3.0, 0.0, 0.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-5.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-16.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-8.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-26.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-4.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-15.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-20.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-17.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-10.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-7.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-46.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-14.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-13.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-11.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-25.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-9.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-20.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-13.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-29.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-21.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-12.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-36.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-6.0, 0.0, 1.0]
-0.06167775560331801 0.6218959908829197 3 0.5773502691896257 1.7320508075688772 3152.52 0.0 1.0 [-17.0, 0.0, 1.0]
